Title,Type,Author,Genre,Status,Notes,Pages,Year,Score,Goodreads
Ilium,Novel,Dan Simmons,Fiction: Science Fiction,NOT STARTED,"Ilium, #1.",732,2003,,4.03
The Terror,Novel,Dan Simmons,Fiction: Horror,FINISHED,,769,2007,4.00,4.07
Carrion Comfort,Novel,Dan Simmons,Fiction: Horror,FINISHED,,884,1989,4.95,3.91
Dark Universe,Novel,Daniel F. Galouye,Fiction: Science Fiction: Apocalyptic,NOT STARTED,,154,1961,,3.73
Flowers for Algernon,Novel,Daniel Keyes,Fiction: Science Fiction,FINISHED,,311,1966,4.90,4.21
The Autumnal,Graphic Novel,Daniel Kraus,Fiction: Horror,NOT STARTED,,232,2012,,3.82
Freedom™,Novel,Daniel Suarez,Fiction: Science Fiction: Cyberpunk,NOT STARTED,"Daemon, #2.",486,2010,,4.26
Inferno,Poetry,Dante Alighieri,Poetry,FINISHED,"The Divine Comedy, #1.",490,1320,3.50,4.02
Rebecca,Novel,Daphne du Maurier,Fiction: Horror: Gothic,NOT STARTED,,449,1938,,4.24
"Why Nations Fail: The Origins of Power, Prosperity, and Poverty",Non-Fiction,"Daron Acemoğlu, James A. Robinson",Non-Fiction: History,NOT STARTED,,529,2012,,4.08
The Storyteller: Tales of Life and Music,Non-Fiction,Dave Grohl,Non-Fiction: Music,NOT STARTED,,384,2012,,4.48
"Magic, Mystery, and Science: The Occult in Western Civilization",Non-Fiction,David A. Grandy,Non-Fiction: History,NOT STARTED,,390,2003,,3.86
The Postman,Novel,David Brin,Fiction: Science Fiction: Apocalyptic,FINISHED,,321,1985,4.00,3.89
Sundiver,Novel,David Brin,Fiction: Science Fiction,NOT STARTED,"The Uplift Saga, #1.",340,1980,,3.69
Earth,Novel,David Brin,Fiction: Science Fiction,NOT STARTED,,704,1990,,3.93
Under the Black Flag: The Romance and the Reality of Life Among the Pirates,Non-Fiction,David Cordingly,Non-Fiction: History,NOT STARTED,,296,1995,,3.68
The Fabric of Reality: Towards a Theory of Everything,Non-Fiction,David Deutsch,Non-Fiction: Science,NOT STARTED,,404,1996,,4.13
The Beginning of Infinity: Explanations That Transform the World,Non-Fiction,David Deutsch,Non-Fiction: Science,NOT STARTED,,487,2011,,4.18
Rise of the Dungeon Master: Gary Gygax and the Creation of D&D,Non-Fiction,David Kushner,Non-Fiction: Games,NOT STARTED,,144,2017,,3.58
Masters of Doom: How Two Guys Created an Empire and Transformed Pop Culture,Non-Fiction,David Kushner,Non-Fiction: Games,FINISHED,,339,2003,4.00,4.29
Of Dice and Men: The Story of Dungeons & Dragons and the People Who Play It,Non-Fiction,David M. Ewalt,Non-Fiction: Games,FINISHED,,276,2013,4.70,3.72
The Thousand Autumns of Jacob de Zoet,Novel,David Mitchell,Fiction: Historical,NOT STARTED,,479,2010,,4.02
Utopia Avenue,Novel,David Mitchell,Fiction: Drama,NOT STARTED,,574,2020,,4.00
Ritual,Novel,David Pinner,Fiction: Horror: Folk,NOT STARTED,,222,1967,,2.98
The Dream Architects: Adventures in the Video Game Industry,Non-Fiction,David Polfeldt,Non-Fiction: Games,NOT STARTED,,320,2020,,3.74
Penance Day in Moderan,Short Story,David R. Bunch,Fiction: Science Fiction,FINISHED,,4,1960,3.25,3.83
Red Devil,Novel,David Saperstein,Fiction: Horror,NOT STARTED,,472,1989,,3.82
The Omen,Novel,David Seltzer,Fiction: Horror,FINISHED,,272,1976,4.00,4.04
"The Life of the Master (A Biography of Abdul Alhazred by His Student, El-Rashi)",Short Story,David T. St. Albans,Fiction: Horror: Cosmic,NOT STARTED,,18,1984,,3.68
The Voice of the Night,Novel,Dean Koontz,Fiction: Science Fiction: Horror,NOT STARTED,,339,1980,,3.96
Night Chills,Novel,Dean Koontz,Fiction: Science Fiction: Horror,NOT STARTED,,369,1976,,3.89
The Eyes of Darkness,Novel,Dean Koontz,Fiction: Science Fiction: Horror,NOT STARTED,,369,1981,,3.81
Dragon Tears,Novel,Dean Koontz,Fiction: Science Fiction: Horror,NOT STARTED,,432,1993,,3.77
Phantoms,Novel,Dean Koontz,Fiction: Horror,NOT FINISHED,,448,1983,3.25,3.96
Whispers,Novel,Dean Koontz,Fiction: Crime,NOT STARTED,,464,1980,,3.93
Twilight Eyes,Novel,Dean Koontz,Fiction: Science Fiction: Horror,NOT STARTED,,464,1985,,3.92
Watchers,Novel,Dean Koontz,Fiction: Science Fiction: Horror,NOT STARTED,,624,1987,,4.18
Strangers,Novel,Dean Koontz,Fiction: Science Fiction: Horror,NOT STARTED,,704,1986,,4.01
Shutter Island,Novel,Dennis Lehane,Fiction: Mystery,FINISHED,,369,2003,4.20,4.12
Mystic River,Novel,Dennis Lehane,Fiction: Crime,FINISHED,,416,2001,3.75,4.17
The Devil Rides Out,Novel,Dennis Wheatley,Fiction: Horror,NOT STARTED,"Black Magic, #1.",320,1934,,3.78
They Used Dark Forces,Novel,Dennis Wheatley,Fiction: Horror,NOT FINISHED,,670,1964,3.00,3.64
Outlander,Novel,Diana Gabaldon,Fiction: Historical,NOT STARTED,"Outlander, #1.",850,1991,,4.26
The Thousand Names,Novel,Django Wexler,Fiction: Fantasy: High,NOT STARTED,"The Shadow Campaigns, #1.",513,2013,,4.04
Metro 2033,Novel,Dmitry Glukhovsky,Fiction: Science Fiction: Apocalyptic,NOT FINISHED,"Metro, #1.",458,2002,2.00,4.02
White Noise,Novel,Don DeLillo,Fiction: Literary,NOT STARTED,,320,1985,,3.86
Libra,Novel,Don DeLillo,Fiction: Literary,NOT STARTED,,480,1988,,4.03
The Secret History,Novel,Donna Tartt,Fiction: Literary,NOT STARTED,,559,1992,,4.17
The Goldfinch,Novel,Donna Tartt,Fiction: Literary,NOT STARTED,,771,2013,,3.94
"Re: Colonised Planet 5, Shikasta",Novel,Doris Lessing,Fiction: Science Fiction,NOT STARTED,"Canopus in Argos, #1.",365,1979,,3.64
Deathrights Deferred,Short Story,Doris Piserchia,Fiction: Science Fiction,FINISHED,,16,1976,3.50,3.41
The Hitchhiker's Guide to the Galaxy,Novel,Douglas Adams,Fiction: Science Fiction,FINISHED,"The Hitchhiker's Guide to the Galaxy, #1.",216,1979,3.00,4.23
"Life, the Universe and Everything",Novel,Douglas Adams,Fiction: Science Fiction,NOT STARTED,"The Hitchhiker's Guide to the Galaxy, #2.",224,1982,,4.17
The Restaurant at the End of the Universe,Novel,Douglas Adams,Fiction: Science Fiction,FINISHED,"The Hitchhiker's Guide to the Galaxy, #2.",250,1980,3.00,4.21
Microserfs,Novel,Douglas Coupland,Fiction: Contemporary,FINISHED,,466,1995,4.25,3.89
The Lost City of the Monkey God,Novel,Douglas Preston,Fiction: Adventure,NOT STARTED,,326,2017,,3.93
Riptide,Novel,Douglas Preston,Fiction: Thriller,NOT STARTED,,474,1998,,3.97
The Ice Limit,Novel,Douglas Preston,Fiction: Thriller,NOT STARTED,,491,2000,,4.00
Relic,Novel,"Douglas Preston, Lincoln Child",Fiction: Crime,FINISHED,"Aloysius Pendergast, #1.",480,1995,3.70,4.05
The Machine Stops,Novelette,E. M. Forster,Fiction: Science Fiction,FINISHED,,27,1909,3.75,4.06
The Fall of the House of Usher,Short Story,Edgar Allan Poe,Fiction: Horror,FINISHED,,36,1839,3.00,3.88
"The Clockwork Universe: Isaac Newton, the Royal Society, and the Birth of the Modern World",Non-Fiction,Edward Dolnick,Non-Fiction: Science,NOT STARTED,,378,2011,,3.94
The Forest,Novel,Edward Rutherfurd,Fiction: Historical,NOT STARTED,,784,2000,,4.04
New York,Novel,Edward Rutherfurd,Fiction: Historical,NOT STARTED,,862,2009,,4.18
Sarum: The Novel of England,Novel,Edward Rutherfurd,Fiction: Historical,FINISHED,,912,1987,3.50,4.08
Evil Eye,Novel,Ehren M. Ehly,Fiction: Horror,NOT STARTED,,359,1989,,3.65
The Sixth Extinction: An Unnatural History,Non-Fiction,Elizabeth Kolbert,Non-Fiction: Biology,FINISHED,,336,2014,4.50,4.15
The Historian,Novel,Elizabeth Kostova,Fiction: Fantasy,FINISHED,,704,2005,4.10,3.80
A Morbid Taste for Bones,Novel,Ellis Peters,Fiction: Historical,FINISHED,"Chronicles of Brother Cadfael, #1.",197,1977,3.50,3.97
Station Eleven,Novel,Emily St. John Mandel,Fiction: Science Fiction: Apocalyptic,FINISHED,,333,2014,4.20,4.07
1632,Novel,Eric Flint,Fiction: Science Fiction: Alternative History,NOT STARTED,"Ring of Fire, #1.",597,2000,,4.05
1177 B.C.: The Year Civilization Collapsed,Non-Fiction,Eric H. Cline,Non-Fiction: History,NOT STARTED,,264,2014,,3.73
Martin Luther: The Man Who Rediscovered God and Changed the World,Non-Fiction,Eric Metaxas,Non-Fiction: History,NOT STARTED,,480,2017,,4.13
"The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America",Non-Fiction,Erik Larson,Non-Fiction: Crime,NOT STARTED,,447,2003,,4.00
Armada,Novel,Ernest Cline,Fiction: Science Fiction,NOT FINISHED,,355,2015,2.00,3.55
Ready Player Two,Novel,Ernest Cline,Fiction: Science Fiction,NOT STARTED,"Ready Player One, #2.",370,2020,,3.43
Ready Player One,Novel,Ernest Cline,Fiction: Science Fiction,FINISHED,"Ready Player One, #1.",374,2011,4.30,4.23
Love's Eldritch Ichor,Novelette,Esther M. Friesner,Fiction: Horror: Cosmic,FINISHED,,21,1990,3.00,4.12
Fail-Safe,Novel,Eugene Burdick,Fiction: Science Fiction: Alternative History,NOT STARTED,,288,1962,,4.16
The Barrens,Novella,F. Paul Wilson,Fiction: Horror: Cosmic,FINISHED,,51,1989,4.75,4.12
The Keep,Novel,F. Paul Wilson,Fiction: Horror,FINISHED,,403,1981,3.50,3.99
Black Wind,Novel,F. Paul Wilson,Fiction: Horror,NOT STARTED,,433,1988,,4.27
Fried Green Tomatoes at the Whistle Stop Cafe,Novel,Fannie Flagg,Fiction: Contemporary,NOT STARTED,,416,1987,,4.28
The Robot Who Liked to Tell Tall Tales,Novelette,Fei Dao,Fiction: Science Fiction,FINISHED,,26,2017,3.00,3.85
The CRPG Book Project,Non-Fiction,Felipe Pepe,Non-Fiction: Games,NOT STARTED,,680,2018,,4.43
1810: La otra historia de nuestra Revolución fundadora,Non-Fiction,Felipe Pigna,Non-Fiction: History,NOT STARTED,,400,2010,,3.75
La voz del gran jefe: Vida y pensamiento de José de San Martín,Non-Fiction,Felipe Pigna,Non-Fiction: History,NOT FINISHED,,556,2015,3.25,4.35
The Church Beneath the Roots,Novel,Felix Blackwell,Fiction: Horror,FINISHED,,324,2024,4.00,4.18
El mapa del tiempo,Novel,Félix J. Palma,Fiction: Science Fiction,NOT STARTED,"Trilogía Victoriana, #1.",628,2008,,3.39
Los Oesterheld,Non-Fiction,"Fernanda Nicolini, Alicia Beltrami",Non-Fiction: Biography,NOT STARTED,,577,2016,,4.28
"A History of Magic and Witchcraft: Sabbats, Satan and Superstitions in the West",Non-Fiction,Frances Timbers,Non-Fiction: History,NOT STARTED,,202,2019,,4.00
The Magical Adventures of Mary Parish: The Occult World of Seventeenth-Century London,Non-Fiction,Frances Timbers,Non-Fiction: History,NOT STARTED,,224,2016,,3.67
The Magus: A Complete System of Occult Philosophy,Non-Fiction,Francis Barrett,Non-Fiction: Philosophy,NOT STARTED,,434,1801,,3.86
Bajo nuestros pies,Novel,Francisco Javier Olmedo Vázquez,Fiction: Horror: Cosmic,NOT STARTED,,311,2019,,4.22
Dune Messiah,Novel,Frank Herbert,Fiction: Science Fiction,FINISHED,"Dune, #2.",337,1969,3.60,3.89
Children of Dune,Novel,Frank Herbert,Fiction: Science Fiction,NOT STARTED,"Dune, #3.",609,1976,,3.96
Dune,Novel,Frank Herbert,Fiction: Science Fiction,FINISHED,"Dune, #1.",658,1965,4.90,4.27
Batman: Year One,Graphic Novel,"Frank Miller, David Mazzucchelli
",Fiction: Science Fiction,FINISHED,,144,1988,4.25,4.24
The Mythical Man-Month: Essays on Software Engineering,Non-Fiction,Fred Brooks,Non-Fiction: Science,NOT FINISHED,,322,1975,3.50,4.01
The Adder,Short Story,Fred Chappell,Fiction: Horror: Cosmic,FINISHED,,18,1989,3.00,4.12
Sui Juris,Graphic Novel,"Fred Duval, Frédéric Blanchard, Emem",Fiction: Science Fiction: Apocalyptic,FINISHED,"Renaissance, #4.",56,2021,4.00,4.00
Interzone,Graphic Novel,"Fred Duval, Frédéric Blanchard, Emem",Fiction: Science Fiction: Apocalyptic,FINISHED,"Renaissance, #2.",56,2019,4.00,3.98
Permafrost,Graphic Novel,"Fred Duval, Frédéric Blanchard, Emem",Fiction: Science Fiction: Apocalyptic,FINISHED,"Renaissance, #3.",57,2020,4.50,4.01
Hybrid Nature,Graphic Novel,"Fred Duval, Frédéric Blanchard, Emem",Fiction: Science Fiction: Apocalyptic,FINISHED,"Renaissance, #5.",58,2023,4.00,4.06
The Uprooted,Graphic Novel,"Fred Duval, Frédéric Blanchard, Emem",Fiction: Science Fiction: Apocalyptic,FINISHED,"Renaissance, #1.",59,2018,3.80,3.85
Les Ouröbörös,Graphic Novel,"Fred Duval, Frédéric Blanchard, Emem",Fiction: Science Fiction: Apocalyptic,NOT STARTED,"Renaissance, #6.",64,2023,,4.29
The Day of the Jackal,Novel,Frederick Forsyth,Fiction: Thriller,NOT STARTED,,358,1971,,4.27
The Fourth Protocol,Novel,Frederick Forsyth,Fiction: Thriller,NOT STARTED,,443,1984,,4.05
The Day After the Day the Martians Came,Short Story,Frederik Pohl,Fiction: Science Fiction,FINISHED,,10,1967,3.00,4.17
Gateway,Novel,Frederik Pohl,Fiction: Science Fiction,NOT STARTED,"Heechee Saga, #1.",278,1977,,4.06
The Big Time,Novel,Fritz Leiber,Fiction: Science Fiction,NOT STARTED,,128,1958,,3.23
Our Lady of Darkness,Novel,Fritz Leiber,Fiction: Horror,NOT STARTED,,183,1977,,3.62
Conjure Wife,Novel,Fritz Leiber,Fiction: Horror,NOT STARTED,,188,1943,,3.81
Night's Black Agents,Novel,Fritz Leiber,Fiction: Horror,NOT STARTED,,240,1947,,4.13
The Wanderer,Novel,Fritz Leiber,Fiction: Science Fiction,NOT STARTED,,346,1964,,3.40
Cien años de soledad,Novel,Gabriel García Márquez,Fiction: Literary,NOT STARTED,,609,1967,,4.11
"Tomorrow, and Tomorrow, and Tomorrow",Novel,Gabrielle Zevin,Fiction: Literary,NOT STARTED,,401,2022,,4.18
H.P.L.,Novelette,Gahan Wilson,Fiction: Horror: Cosmic,FINISHED,,30,1990,3.00,4.12
Stage Fright,Novel,Garrett Boatman,Fiction: Horror,NOT STARTED,,381,1988,,3.36
Crossed,Graphic Novel,Garth Ennis,Fiction: Horror,NOT STARTED,"Crossed, #1.",240,2006,,3.65
Aztec,Novel,Gary Jennings,Fiction: Historical,NOT STARTED,"Aztec, #1.",754,1980,,4.26
The Journeyer,Novel,Gary Jennings,Fiction: Historical,NOT STARTED,,1024,1984,,4.32
Sir Gawain and the Green Knight,Novel,Gawain Poet,Fiction: Fantasy,FINISHED,,144,1350,4.00,3.76
Into the Void: From Birth to Black Sabbath―And Beyond,Non-Fiction,Geezer Butler,Non-Fiction: Music,NOT STARTED,,288,2023,,4.20
The Unicorn Project,Novel,Gene Kim,Fiction: Literary,NOT STARTED,,352,2019,,4.09
"The Phoenix Project: A Novel About IT, DevOps, and Helping Your Business Win",Novel,"Gene Kim, Kevin Behr, George Spafford",Fiction: Science Fiction,NOT STARTED,,345,2013,,4.26
Lord of the Land,Novelette,Gene Wolfe,Fiction: Horror: Cosmic,FINISHED,,15,1990,3.00,4.12
The Shadow of the Torturer,Novel,Gene Wolfe,Fiction: Fantasy: Grimdark,NOT STARTED,"The Book of the New Sun, #1.",262,1980,,3.83
When Gravity Fails,Novel,George Alex Effinger,Fiction: Science Fiction: Cyberpunk,NOT FINISHED,"Marîd Audran, #1.",288,1986,3.50,3.91
Animal Farm,Novel,George Orwell,Fiction: Fantasy,FINISHED,,128,1945,4.00,3.99
1984,Novel,George Orwell,Fiction: Science Fiction,FINISHED,,368,1949,4.00,4.19
The Way of Cross and Dragon,Novelette,George R. R. Martin,Fiction: Science Fiction,NOT STARTED,,20,1979,,4.22
Sandkings,Anthology,George R. R. Martin,Fiction: Science Fiction,NOT STARTED,,254,1981,,4.22
Dying of the Light,Novel,George R. R. Martin,Fiction: Science Fiction,NOT STARTED,,288,1977,,3.56
A Clash of Kings,Novel,George R. R. Martin,Fiction: Fantasy: Epic,FINISHED,"A Song of Ice and Fire, #2.",784,1998,3.20,4.42
A Game of Thrones,Novel,George R. R. Martin,Fiction: Fantasy: Epic,FINISHED,"A Song of Ice and Fire, #1.",835,1996,4.40,4.44
A Feast for Crows,Novel,George R. R. Martin,Fiction: Fantasy: Epic,FINISHED,"A Song of Ice and Fire, #4.",1060,2005,4.20,4.16
A Dance with Dragons,Novel,George R. R. Martin,Fiction: Fantasy: Epic,FINISHED,"A Song of Ice and Fire, #5.",1125,2011,3.80,4.34
A Storm of Swords,Novel,George R. R. Martin,Fiction: Fantasy: Epic,FINISHED,"A Song of Ice and Fire, #3.",1177,2000,4.60,4.54
El límite de las mentiras,Novel,Gerardo Bartolomé,Fiction: Historical,FINISHED,,256,2009,4.00,4.24
Trouble Halfway,Graphic Novel,"Gilles Thomas, Mathieu Masmondet, Zhang Xiaoyu",Fiction: Science Fiction: Apocalyptic,FINISHED,"Savage Highway, #2.",55,2015,3.25,3.64
Hit the Road,Graphic Novel,"Gilles Thomas, Mathieu Masmondet, Zhang Xiaoyu",Fiction: Science Fiction: Apocalyptic,FINISHED,"Savage Highway, #1.",55,2015,3.25,3.49
Ground Zero,Graphic Novel,"Gilles Thomas, Mathieu Masmondet, Zhang Xiaoyu",Fiction: Science Fiction: Apocalyptic,FINISHED,"Savage Highway, #3.",56,2017,3.25,3.51
The Black Company,Novel,Glen Cook,Fiction: Fantasy: Grimdark,NOT STARTED,"The Chronicles of the Black Company, #1.",319,1984,,3.93
Dorsai!,Novel,Gordon R. Dickson,Fiction: Science Fiction,NOT STARTED,"Childe Cycle, #1.",280,1960,,4.03
Paperbacks from Hell: The Twisted History of '70s and '80s Horror Fiction,Non-Fiction,Grady Hendrix,Non-Fiction: Writing,FINISHED,,254,2017,4.50,4.27
My Best Friend's Exorcism,Novel,Grady Hendrix,Fiction: Horror,NOT STARTED,,337,2016,,3.94
The Southern Book Club's Guide to Slaying Vampires,Novel,Grady Hendrix,Fiction: Horror,NOT STARTED,,410,2020,,3.80
Nameless,Graphic Novel,Grant Morrison,Fiction: Horror,FINISHED,,193,2016,4.00,3.50
Petra,Short Story,Greg Bear,Fiction: Science Fiction: Cyberpunk,FINISHED,,20,1982,4.00,3.95
Blood Music,Novel,Greg Bear,Fiction: Science Fiction,NOT STARTED,,344,1985,,3.84
Darwin's Radio,Novel,Greg Bear,Fiction: Science Fiction,NOT STARTED,"Darwin's Radio, #1.",448,1999,,3.73
The Forge of God,Novel,Greg Bear,Fiction: Science Fiction,NOT STARTED,"Forge of God, #1.",474,1987,,3.87
Axiomatic,Anthology,Greg Egan,Fiction: Science Fiction,NOT STARTED,,293,1990,,4.27
Diaspora,Novel,Greg Egan,Fiction: Science Fiction,NOT STARTED,,443,1997,,4.11
The Nest,Novel,Gregory A. Douglas,Fiction: Horror,NOT STARTED,,448,1980,,3.66
In the Ocean of Night,Novel,Gregory Benford,Fiction: Science Fiction,FINISHED,"Galactic Center, #1.",450,1977,3.75,3.63
Across the Sea of Suns,Novel,Gregory Benford,Fiction: Science Fiction,NOT STARTED,"Galactic Center, #2.",512,1984,,3.74
Shantaram,Novel,Gregory David Roberts,Fiction: Historical,NOT STARTED,,936,2003,,4.27
Reflection,Short Story,Gu Shi,Fiction: Science Fiction,FINISHED,,16,2013,3.00,3.85
Dark Imperium,Novel,Guy Haley,Fiction: Science Fiction: Grimdark,NOT STARTED,"Warhammer 40k: Dark Imperium, #1.",319,2017,,3.86
The Time Machine,Novel,H. G. Wells,Fiction: Science Fiction,FINISHED,,118,1895,4.00,3.89
The Island of Dr. Moreau,Novel,H. G. Wells,Fiction: Science Fiction,NOT STARTED,,160,1896,,3.73
The War of the Worlds,Novel,H. G. Wells,Fiction: Science Fiction,FINISHED,,192,1898,4.80,3.83
The Invisible Man,Novel,H. G. Wells,Fiction: Science Fiction,NOT STARTED,,192,1897,,3.64
History of the Necronomicon,Short Story,H. P. Lovecraft,Fiction: Horror: Cosmic,FINISHED,,1,1938,4.75,4.34
The Book,Poetry,H. P. Lovecraft,Fiction: Horror: Cosmic,FINISHED,,1,1934,4.00,4.34
Azathoth,Short Story,H. P. Lovecraft,Fiction: Horror: Cosmic,FINISHED,,1,1922,3.50,4.34
Memory,Poetry,H. P. Lovecraft,Fiction: Horror: Cosmic,FINISHED,,1,1919,3.25,4.34
The Cats of Ulthar,Short Story,H. P. Lovecraft,Fiction: Horror: Cosmic,FINISHED,,2,1920,4.25,4.34
The Terrible Old Man,Short Story,H. P. Lovecraft,Fiction: Horror: Cosmic,FINISHED,,2,1921,3.70,4.34
Ex Oblivione,Poetry,H. P. Lovecraft,Fiction: Horror: Cosmic,FINISHED,,2,1921,3.60,4.34
Nyarlathotep,Poetry,H. P. Lovecraft,Fiction: Horror: Cosmic,FINISHED,,2,1920,3.25,4.34
What the Moon Brings,Poetry,H. P. Lovecraft,Fiction: Horror: Cosmic,FINISHED,,2,1922,3.25,4.34
The Evil Clergyman,Short Story,H. P. Lovecraft,Fiction: Horror: Cosmic,FINISHED,,3,1939,4.00,4.34
Polaris,Short Story,H. P. Lovecraft,Fiction: Horror: Cosmic,FINISHED,,3,1920,3.75,4.34
The Descendant,Short Story,H. P. Lovecraft,Fiction: Horror: Cosmic,FINISHED,,3,1926,3.75,4.34
The Other Gods,Short Story,H. P. Lovecraft,Fiction: Horror: Cosmic,FINISHED,,3,1933,3.70,4.34
The Tree,Short Story,H. P. Lovecraft,Fiction: Horror: Cosmic,FINISHED,,3,1921,3.50,4.34
Ibid,Short Story,H. P. Lovecraft,Fiction: Horror: Cosmic,FINISHED,,3,1938,3.25,4.34
The Outsider,Short Story,H. P. Lovecraft,Fiction: Horror: Cosmic,FINISHED,,4,1926,4.60,4.34
The Doom that Came to Sarnath,Short Story,H. P. Lovecraft,Fiction: Horror: Cosmic,FINISHED,,4,1920,4.00,4.34
The Street,Short Story,H. P. Lovecraft,Fiction: Horror: Cosmic,FINISHED,,4,1920,4.00,4.34
The Quest of Iranon,Short Story,H. P. Lovecraft,Fiction: Horror: Cosmic,FINISHED,,4,1935,3.80,4.34
The Statement of Randolph Carter,Short Story,H. P. Lovecraft,Fiction: Horror: Cosmic,FINISHED,,4,1920,3.75,4.34
The White Ship,Short Story,H. P. Lovecraft,Fiction: Horror: Cosmic,FINISHED,,4,1919,3.75,4.34
Celephaïs,Short Story,H. P. Lovecraft,Fiction: Horror: Cosmic,FINISHED,,4,1922,3.50,4.34
Dagon,Short Story,H. P. Lovecraft,Fiction: Horror: Cosmic,FINISHED,,5,1919,4.70,4.34
From Beyond,Short Story,H. P. Lovecraft,Fiction: Horror: Cosmic,FINISHED,,5,1934,4.50,4.34
The Music of Erich Zann,Short Story,H. P. Lovecraft,Fiction: Horror: Cosmic,FINISHED,,5,1922,4.30,4.34
The Picture in the House,Short Story,H. P. Lovecraft,Fiction: Horror: Cosmic,FINISHED,,5,1919,4.20,4.34
The Shunned House,Novelette,H. P. Lovecraft,Fiction: Horror: Cosmic,FINISHED,,5,1928,4.00,4.34
The Hound,Short Story,H. P. Lovecraft,Fiction: Horror: Cosmic,FINISHED,,5,1924,3.80,4.34
In the Vault,Short Story,H. P. Lovecraft,Fiction: Horror: Cosmic,FINISHED,,5,1925,3.75,4.34
Old Bugs,Short Story,H. P. Lovecraft,Fiction: Horror: Cosmic,FINISHED,,5,1959,3.75,4.34
The Transition of Juan Romero,Short Story,H. P. Lovecraft,Fiction: Horror: Cosmic,FINISHED,,5,1919,3.75,4.34
The Unnamable,Short Story,H. P. Lovecraft,Fiction: Horror: Cosmic,FINISHED,,5,1925,3.75,4.34
The Moon-Bog,Short Story,H. P. Lovecraft,Fiction: Horror: Cosmic,FINISHED,,5,1926,3.60,4.34
Hypnos,Short Story,H. P. Lovecraft,Fiction: Horror: Cosmic,FINISHED,,5,1922,3.50,4.34
The Festival,Short Story,H. P. Lovecraft,Fiction: Horror: Cosmic,FINISHED,,6,1925,4.75,4.34
The Strange High House in the Mist,Short Story,H. P. Lovecraft,Fiction: Horror: Cosmic,FINISHED,,6,1931,4.10,4.34
Cool Air,Short Story,H. P. Lovecraft,Fiction: Horror: Cosmic,FINISHED,,6,1928,3.75,4.34
Facts Concerning the Late Arthur Jermyn and His Family,Short Story,H. P. Lovecraft,Fiction: Horror: Cosmic,FINISHED,,6,1921,3.50,4.34
History of the Necronomicon (An Outline),Short Story,H. P. Lovecraft,Fiction: Horror: Cosmic,NOT STARTED,,6,1992,,3.68
Beyond the Wall of Sleep,Short Story,H. P. Lovecraft,Fiction: Horror: Cosmic,FINISHED,,7,1919,4.25,4.34
The Tomb,Short Story,H. P. Lovecraft,Fiction: Horror: Cosmic,FINISHED,,7,1922,4.00,4.34
He,Short Story,H. P. Lovecraft,Fiction: Horror: Cosmic,FINISHED,,7,1926,3.75,4.34
The Very Old Folk,Short Story,H. P. Lovecraft,Fiction: Horror: Cosmic,FINISHED,,7,1927,3.60,4.34
Pickman's Model,Short Story,H. P. Lovecraft,Fiction: Horror: Cosmic,FINISHED,,8,1927,4.25,4.34
The Alchemist,Short Story,H. P. Lovecraft,Fiction: Horror: Cosmic,FINISHED,,8,1916,4.00,4.34
The Temple,Short Story,H. P. Lovecraft,Fiction: Horror: Cosmic,FINISHED,,8,1925,4.00,4.34
The Silver Key,Short Story,H. P. Lovecraft,Fiction: Horror: Cosmic,FINISHED,,8,1929,3.50,4.34
The Nameless City,Short Story,H. P. Lovecraft,Fiction: Horror: Cosmic,FINISHED,,10,1921,4.70,4.34
Sweet Ermengarde,Short Story,H. P. Lovecraft,Fiction: Horror: Cosmic,FINISHED,,10,1943,2.75,4.34
The Rats in the Walls,Novelette,H. P. Lovecraft,Fiction: Horror: Cosmic,FINISHED,,12,1924,4.20,4.34
The Lurking Fear,Novelette,H. P. Lovecraft,Fiction: Horror: Cosmic,FINISHED,,13,1928,4.20,4.34
The Haunter of the Dark,Novelette,H. P. Lovecraft,Fiction: Horror: Cosmic,FINISHED,,16,1936,4.75,4.34
The Thing on the Doorstep,Novelette,H. P. Lovecraft,Fiction: Horror: Cosmic,FINISHED,,18,1937,4.00,4.34
The Horror at Red Hook,Novelette,H. P. Lovecraft,Fiction: Horror: Cosmic,FINISHED,,24,1927,4.50,4.34
The Dreams in the Witch-House,Novelette,H. P. Lovecraft,Fiction: Horror: Cosmic,FINISHED,,33,1933,4.50,4.34
Herbert West–Reanimator,Novelette,H. P. Lovecraft,Fiction: Horror: Cosmic,FINISHED,,35,1943,4.65,3.84
The Call of Cthulhu,Novelette,H. P. Lovecraft,Fiction: Horror: Cosmic,FINISHED,,43,1928,4.80,3.96
The Dunwich Horror,Novelette,H. P. Lovecraft,Fiction: Horror: Cosmic,FINISHED,,46,1929,4.00,3.81
The Dream-Quest of Unknown Kadath,Novella,H. P. Lovecraft,Fiction: Horror: Cosmic,FINISHED,,60,1943,4.00,4.34
The Whisperer in Darkness,Novella,H. P. Lovecraft,Fiction: Horror: Cosmic,FINISHED,,76,1931,4.00,3.90
The Colour Out of Space,Novelette,H. P. Lovecraft,Fiction: Horror: Cosmic,FINISHED,,78,1927,4.50,4.03
The Case of Charles Dexter Ward,Novel,H. P. Lovecraft,Fiction: Horror: Cosmic,FINISHED,,128,1943,4.00,4.13
The Shadow Out of Time,Novella,H. P. Lovecraft,Fiction: Horror: Cosmic,FINISHED,,136,1936,3.50,3.87
